Continent,Year,Attribute,Value
Africas,2011,WRI,9.00244898
Africas,2011,Exposure,14.51040816
Africas,2011,Vulnerability,62.72918367
Africas,2011,Susceptibility,49.37795918
Africas,2011,Lack of Coping Capabilities,82.74591837
Africas,2011,Lack of Adaptive Capacities,56.06265306
Africas,2012,WRI,8.60122449
Africas,2012,Exposure,14.04959184
Africas,2012,Vulnerability,62.67959184
Africas,2012,Susceptibility,48.74693878
Africas,2012,Lack of Coping Capabilities,82.28530612
Africas,2012,Lack of Adaptive Capacities,57.00612245
Africas,2013,WRI,8.513469388
Africas,2013,Exposure,14.04959184
Africas,2013,Vulnerability,62.07530612
Africas,2013,Susceptibility,48.21877551
Africas,2013,Lack of Coping Capabilities,81.1355102
Africas,2013,Lack of Adaptive Capacities,56.87204082
Africas,2014,WRI,8.531020408
Africas,2014,Exposure,14.05326531
Africas,2014,Vulnerability,61.99530612
Africas,2014,Susceptibility,47.7822449
Africas,2014,Lack of Coping Capabilities,81.25571429
Africas,2014,Lack of Adaptive Capacities,56.94693878
Africas,2015,WRI,8.604166667
Africas,2015,Exposure,14.22125
Africas,2015,Vulnerability,62.05145833
Africas,2015,Susceptibility,47.43520833
Africas,2015,Lack of Coping Capabilities,81.55875
Africas,2015,Lack of Adaptive Capacities,57.15979167
Africas,2016,WRI,8.385510204
Africas,2016,Exposure,14.05326531
Africas,2016,Vulnerability,60.7155102
Africas,2016,Susceptibility,46.58428571
Africas,2016,Lack of Coping Capabilities,81.3322449
Africas,2016,Lack of Adaptive Capacities,54.23122449
Africas,2017,WRI,8.619166667
Africas,2017,Exposure,14.22125
Africas,2017,Vulnerability,62.09854167
Africas,2017,Susceptibility,47.98145833
Africas,2017,Lack of Coping Capabilities,81.710625
Africas,2017,Lack of Adaptive Capacities,56.60270833
Africas,2018,WRI,8.766666667
Africas,2018,Exposure,14.75958333
Africas,2018,Vulnerability,61.38458333
Africas,2018,Susceptibility,47.49833333
Africas,2018,Lack of Coping Capabilities,81.59979167
Africas,2018,Lack of Adaptive Capacities,55.05458333
Africas,2019,WRI,9.8572
Africas,2019,Exposure,16.9438
Africas,2019,Vulnerability,60.463
Africas,2019,Susceptibility,46.101
Africas,2019,Lack of Coping Capabilities,83.1472
Africas,2019,Lack of Adaptive Capacities,52.1392
Africas,2020,WRI,9.7646
Africas,2020,Exposure,16.8184
Africas,2020,Vulnerability,60.5574
Africas,2020,Susceptibility,46.026
Africas,2020,Lack of Coping Capabilities,82.7466
Africas,2020,Lack of Adaptive Capacities,52.8992
Africas,2021,WRI,9.7692
Africas,2021,Exposure,16.8362
Africas,2021,Vulnerability,60.4638
Africas,2021,Susceptibility,46.0794
Africas,2021,Lack of Coping Capabilities,82.7272
Africas,2021,Lack of Adaptive Capacities,52.5856
Americas,2011,WRI,8.306333333
Americas,2011,Exposure,17.693
Americas,2011,Vulnerability,46.065
Americas,2011,Susceptibility,27.53233333
Americas,2011,Lack of Coping Capabilities,69.78966667
Americas,2011,Lack of Adaptive Capacities,40.87366667
Americas,2012,WRI,8.291666667
Americas,2012,Exposure,17.36033333
Americas,2012,Vulnerability,46.81533333
Americas,2012,Susceptibility,26.73433333
Americas,2012,Lack of Coping Capabilities,69.904
Americas,2012,Lack of Adaptive Capacities,43.809
Americas,2013,WRI,8.208333333
Americas,2013,Exposure,17.36033333
Americas,2013,Vulnerability,46.37933333
Americas,2013,Susceptibility,26.60833333
Americas,2013,Lack of Coping Capabilities,69.016
Americas,2013,Lack of Adaptive Capacities,43.515
Americas,2014,WRI,8.166333333
Americas,2014,Exposure,17.36033333
Americas,2014,Vulnerability,46.18366667
Americas,2014,Susceptibility,27.08333333
Americas,2014,Lack of Coping Capabilities,69.01566667
Americas,2014,Lack of Adaptive Capacities,42.453
Americas,2015,WRI,8.056666667
Americas,2015,Exposure,17.36033333
Americas,2015,Vulnerability,45.656
Americas,2015,Susceptibility,26.153
Americas,2015,Lack of Coping Capabilities,68.71033333
Americas,2015,Lack of Adaptive Capacities,42.10233333
Americas,2016,WRI,8.288666667
Americas,2016,Exposure,17.89133333
Americas,2016,Vulnerability,44.43666667
Americas,2016,Susceptibility,26.72033333
Americas,2016,Lack of Coping Capabilities,68.083
Americas,2016,Lack of Adaptive Capacities,41.04965517
Americas,2017,WRI,8.133666667
Americas,2017,Exposure,17.36033333
Americas,2017,Vulnerability,46.00366667
Americas,2017,Susceptibility,26.44466667
Americas,2017,Lack of Coping Capabilities,69.04466667
Americas,2017,Lack of Adaptive Capacities,42.52266667
Americas,2018,WRI,8.205333333
Americas,2018,Exposure,18.49033333
Americas,2018,Vulnerability,43.142
Americas,2018,Susceptibility,25.20133333
Americas,2018,Lack of Coping Capabilities,67.774
Americas,2018,Lack of Adaptive Capacities,36.45166667
Americas,2019,WRI,8.7734375
Americas,2019,Exposure,19.4540625
Americas,2019,Vulnerability,44.1703125
Americas,2019,Susceptibility,24.64625
Americas,2019,Lack of Coping Capabilities,72.27
Americas,2019,Lack of Adaptive Capacities,35.59375
Americas,2020,WRI,9.314848485
