Region,WRI,Year
Vanuatu,32,2011
Tonga,29.08,2011
Philippines,24.32,2011
Solomon Is.,23.51,2011
Guatemala,20.88,2011
Bangladesh,17.45,2011
Timor-Leste,17.45,2011
Costa Rica,16.74,2011
Cambodia,16.58,2011
El Salvador,16.49,2011
Papua New Guinea,15.45,2011
Brunei,14.08,2011
Fiji,13.57,2011
Cabo Verde,9.47,2011
Guyana,9.02,2011
Djibouti,7.05,2011
Comoros,6.93,2011
Kiribati,1.88,2011
Vanuatu,36.43,2013
Tonga,28.23,2013
Philippines,27.52,2013
Guatemala,20.88,2013
Bangladesh,19.81,2013
Solomon Is.,18.11,2013
Costa Rica,16.94,2013
Cambodia,16.9,2013
El Salvador,16.85,2013
Timor-Leste,16.37,2013
Papua New Guinea,15.9,2013
Brunei,15.8,2013
Fiji,13.56,2013
Guyana,11.65,2013
Cabo Verde,10.8,2013
Djibouti,9.84,2013
Comoros,7.52,2013
Kiribati,1.78,2013
Vanuatu,36.72,2015
Tonga,28.45,2015
Philippines,27.98,2015
Guatemala,20.1,2015
Solomon Is.,19.29,2015
Bangladesh,19.26,2015
Costa Rica,17.17,2015
Cambodia,16.82,2015
Papua New Guinea,16.82,2015
El Salvador,16.8,2015
Timor-Leste,16.23,2015
Brunei,16.15,2015
Fiji,13.47,2015
Guyana,11.61,2015
Cabo Verde,10.17,2015
Djibouti,9.94,2015
Comoros,7.48,2015
Kiribati,1.73,2015
Vanuatu,36.5,2014
Philippines,28.25,2014
Tonga,28.23,2014
Guatemala,20.68,2014
Bangladesh,19.37,2014
Solomon Is.,19.18,2014
Costa Rica,17.33,2014
El Salvador,17.12,2014
Cambodia,17.12,2014
Papua New Guinea,16.74,2014
Timor-Leste,16.41,2014
Brunei,16.23,2014
Fiji,13.65,2014
Guyana,11.81,2014
Cabo Verde,10.32,2014
Djibouti,9.93,2014
Comoros,7.44,2014
Kiribati,1.72,2014
Vanuatu,47.73,2021
Solomon Is.,31.16,2021
Tonga,30.51,2021
Dominica,27.42,2021
Antigua and Barb.,27.28,2021
Brunei,22.77,2021
Guyana,21.83,2021
Philippines,21.39,2021
Papua New Guinea,20.9,2021
Guatemala,20.23,2021
Cabo Verde,17.72,2021
Costa Rica,17.06,2021
Bangladesh,16.23,2021
Fiji,16.06,2021
Cambodia,15.8,2021
Timor-Leste,15.75,2021
Djibouti,15.48,2021
El Salvador,15.32,2021
Kiribati,15.14,2021
Comoros,14.91,2021
Vanuatu,36.45,2017
Tonga,28.57,2017
Philippines,27.69,2017
Guatemala,20.46,2017
Bangladesh,19.57,2017
Solomon Is.,18.77,2017
Costa Rica,17.16,2017
Cambodia,16.92,2017
El Salvador,16.74,2017
Timor-Leste,16.37,2017
Papua New Guinea,16.34,2017
Brunei,16.22,2017
Fiji,13.5,2017
Guyana,11.65,2017
Cabo Verde,10.51,2017
Djibouti,9.99,2017
Comoros,7.44,2017
Kiribati,1.76,2017
Vanuatu,56.71,2019
Antigua and Barb.,30.8,2019
Tonga,29.39,2019
Solomon Is.,29.36,2019
Guyana,22.87,2019
Papua New Guinea,22.18,2019
Brunei,21.68,2019
Guatemala,20.69,2019
Philippines,20.69,2019
Bangladesh,18.78,2019
Cabo Verde,18.02,2019
Fiji,17.83,2019
Costa Rica,17.37,2019
Djibouti,16.46,2019
Timor-Leste,16.39,2019
Cambodia,15.13,2019
El Salvador,15.11,2019
Kiribati,14.64,2019
Comoros,14.63,2019
Vanuatu,49.74,2020
Tonga,29.72,2020
Dominica,28.47,2020
Antigua and Barb.,27.44,2020
Solomon Is.,24.25,2020
Guyana,22.73,2020
Brunei,22.3,2020
Papua New Guinea,21.12,2020
Philippines,20.96,2020
Guatemala,20.09,2020
Cabo Verde,17.73,2020
Costa Rica,17.25,2020
Bangladesh,16.4,2020
Djibouti,16.23,2020
Fiji,16,2020
Cambodia,15.76,2020
El Salvador,15.33,2020
Kiribati,14.94,2020
Comoros,14.88,2020
Timor-Leste,14.67,2020
Vanuatu,36.31,2012
Tonga,28.62,2012
Philippines,27.98,2012
Guatemala,20.75,2012
Bangladesh,20.22,2012
Solomon Is.,18.15,2012
Costa Rica,17.38,2012
Cambodia,17.17,2012
Timor-Leste,17.13,2012
El Salvador,16.89,2012
Brunei,15.92,2012
Papua New Guinea,15.81,2012
Fiji,13.69,2012
Guyana,11.77,2012
Cabo Verde,10.88,2012
Djibouti,9.96,2012
Comoros,7.45,2012
Kiribati,1.78,2012
Vanuatu,50.28,2018
Tonga,29.42,2018
Philippines,25.14,2018
Solomon Is.,23.29,2018
Guyana,23.23,2018
Papua New Guinea,20.88,2018
Guatemala,20.6,2018
Brunei,18.82,2018
Bangladesh,17.38,2018
Fiji,16.58,2018
Costa Rica,16.56,2018
Cambodia,16.07,2018
Timor-Leste,16.05,2018
El Salvador,15.95,2018
Kiribati,15.42,2018
Djibouti,13.9,2018
Cabo Verde,11.52,2018
Comoros,8.36,2018
Vanuatu,36.28,2016
Tonga,29.33,2016
Philippines,26.7,2016
Guatemala,19.88,2016
Bangladesh,19.17,2016
Solomon Is.,19.14,2016
Brunei,17,2016
Costa Rica,17,2016
Cambodia,16.58,2016
Papua New Guinea,16.43,2016
El Salvador,16.05,2016
Timor-Leste,15.69,2016
Fiji,13.15,2016
Guyana,11.39,2016
Cabo Verde,10.39,2016
Djibouti,10.3,2016
Comoros,7.29,2016
Kiribati,1.78,2016
